Id;Nm_Grp;Id_Cty
839;General Partners;9
840;General Physics;9
841;General Reinsurance;10
842;General Semiconductor;2
843;Genzyme Corporation;20
844;Geoff Howe Group;29
845;Geopost;9
846;Georg Fischer;10
847;General Electric Plastics;9
848;Geratherm;9
849;Gerber Technology  (Gerber Sci;29
850;Germanos Group;1
851;Gerolymatos;11
852;Getemed;29
853;Getin Holding;14
854;Getinge;30
855;Gevaert;9
856;Ghana Commercial Bank;10
857;Gilead;17
858;Gillette;15
859;Global Integrated Supply;10
860;Gist-Brocades France Sa;30
861;Givaudan-Roure Spa;29
862;Gjensidige;9
863;Gkn Automotive;30
864;Galeries Lafayette;9
865;Glaverbel;30
866;Glaxo Smithkline;30
867;Germanischer Lloyd;9
868;Global Refund;29
869;Gl Trade;20
870;General Motors;29
871;Gn Resound;9
872;Godiva;20
873;Goedecke;14
874;Golden Telecom Inc;10
875;Goldman Sachs;9
876;Goodyear;2
877;Goodys Sa;11
878;Gore;10
879;Gorenje;9
880;Gosi General Organization Fo;30
881;Gpc Biotech;10
882;Gpic 0 Gulf Petrochemical Indu;2
883;Gpo;10
884;W R Grace Ltd;30
885;Graco;30
886;Granada Plc;20
887;Haagen-Dazs Uk Ltd;15
888;Graninge;10
889;Greek Pharma Association;30
890;Griffin Marechal;10
891;Grosvenor;30
892;Gruenenthal;10
893;Grundfos;6
894;Gtech;2
895;Guerlain;10
896;Guidant;20
897;Guinness;29
898;The Gulf Bank Ksc;29
899;Gulf Air;17
900;Gpic - Gulf Petrochemical Indu;2
901;Gus Holland;30
902;H&M Hennes & Mauritz;30
903;Habasit Italiana Spa;29
904;Haldor Topsoe;20
905;Halliburton Company;10
906;Hammond Suddards;17
907;Hamon Thermal Europe;9
908;Handelsbanken Group;10
909;Hands-On ;10
910;Hansa Bank;7
911;Hart Wall;10
912;Haymarket Business Publication;10
913;Hays;30
914;Hayward;15
915;Hbos;30
916;Hughes Christensen;10
917;Heidelberg;10
918;Heidelberger;10
919;Heidricks & Struggle;9
920;Heine Optotechnik;30
921;Heineken;20
922;Hellenic Aerospace Industry;14
923;Hellenic American Union;20
924;Hellenic Brewery Of Atalanti;11
925;Hellenic Center For Investment;15
926;Hellenic Culture Organisation;10
927;Hellenic Defence Industry;20
928;Helen;9
929;Hellenic Export Promotion Orga;17
930;Hellenic Food Industries;29
931;Hella;10
932;Hellenic Business Development;15
933;Hellenic;9
934;Hellenic Bank Ltd;10
935;Hellenic Fabrics;15
936;Hellenic Petroleum Corporation;9
937;Hellenic Management Associatio;30
938;Hellenic Institute For Occupat;10
939;Hellenic Purchasing Institute;30
940;Hellenic Shipyards;20
941;Helsinki Chamber Of Commerce;10
942;Helsinn;29
943;Hellenic Steel;29
944;Hellenic Sugar Industry;10
945;Hellenic Technodomiki;20
946;Hellenic Institute Of Environm;10
947;Hempel Paint;9
948;Henkel;10
949;Henley Management College;30
950;Jas Hennessy & Co;15
951;Hep Hrvatska Elektroprivreda;20
952;Heraeus Sensor Gmbh;9
953;Hercules;9
954;Hermes Softlab;20
955;Hertz;10
956;Hexion;9
957;Heyer Medical;30
958;Hfc Bank Plc;9
959;Hiab;9
960;Hikma Pharmaceuticals;30
961;Hillesden Securities Ltd;15
962;Hill And Knowlton;9
963;Hill-Rom;10
964;Hill Samuel;9
965;Hillsdown;20
966;Hill'S Pet Nutrition;30
967;Hilti;16
968;Hilton;30
969;Hitachi;9
970;Hoffmann Consulting;9
971;Hoftiech;30
972;Hoganas;28
973;Hogeschool Utrecht;15
974;Holcim;29
975;Holiday Inns Of Belgium Nv;15
976;Hollandse Signaalapparaten Bv;15
977;Holland Colours;12
978;Holmen Iggesund;28
979;Honda;10
980;Honeywell/Allied;2
981;Hoogovens Technical Services;15
982;Hospira;30
983;Hoyer;2
984;Hp;29
985;Hr Factory;9
986;Hri;10
987;Hrvatski Telecom;4
988;Hsa Hospital Saving Associatio;30
989;Hsbc Bank;30
990;Hudson Highland;9
991;Hugo Boss;30
992;Huhtamaki;8
993;Hungarian Post;20
994;Huntsman;29
995;Husky Injection Molding System;17
996;Hvb;30
997;Hydro Coatings Ltd;14
998;Hyundai;30
999;I2 Group;29
1000;I2 Technologies;30
1001;Iaea;1
1002;Iams;9
1003;Ibah;20
1004;Ibec Irish Bus & Empl Confeder;30
1005;Iberdrola Group;15
1006;Iberia Airlines;14
1007;Ibm;9
1008;Ibn Al-Baytar Safco;15
1009;Ibo;20
1010;Icc;30
1011;Iceland Telecom Ltd;13
1012;Ici;30
1013;Icl Sorbus Europe;20
1014;Icts;1
1015;Ida Ireland;14
1016;Idc;30
1017;Idv Operations Ireland Ltd;15
1018;Ifad;15
1019;Int Finance Corporation;30
1020;International Flavours & Fragr;20
1021;Ifm Electronic;14
1022;Igt Europe Bv;20
1023;Int Herald Tribune;30
1024;Institute For International Re;30
1025;Ikano;10
1026;Ikea;28
1027;Ilo;29
1028;International Institute For Ma;29
1029;Imec;20
1030;Imerys;9
1031;Imo;15
1032;Ideal Medical Products;20
1033;Imperial Tobacco;10
1034;Ims;17
1035;Ina Group;4
1036;Institutio Nacional De Admin;9
1037;Inbev;4
1038;Incyte Genomics Inc;30
1039;Indevco;14
1040;Inditex;9
1041;Industries Qatar;10
1042;Ineos;9
1043;Inergy Automotive Systems;9
1044;Infocus;20
1045;Infogroup;9
1046;Infonet;20
1047;Info Products Belgie Bv;1
1048;Infors;10
1049;Infosys;29
1050;Ing Group;20
1051;Ingersoll-Rand;2
1052;Ingram;10
1053;Innogenetics;1
1054;Innova;30
1055;Insead;9
1056;Institute Of Public Administra;30
1057;Intel;10
1058;Interamerican;14
1059;Inter-Continental Hotels;9
1060;Interel Public Relations;10
1061;Interpay;20
1062;Interpharm;9
1063;Interpol;9
1064;Interpublic Group;10
1065;Interroll;20
1066;Intersurgical;10
1067;Interxion;29
1068;Intesa;15
1069;Int'L Idea;28
1070;Int'L Investment Group;15
1071;The Int'L Investor;30
1072;Int'L Paper;20
1073;Intracom;11
1074;Intralox;30
1075;Invacare;30
1076;Invensys;30
1077;Inventa;5
1078;Invest France;9
1079;Invest Germany;10
1080;Iom Int'L Organization For Mig;29
1081;Iomega;29
1082;Ipsen;9
1083;Iri;2
1084;Irish Ferries;29
1085;Isk;9
1086;Islandsbanki Isb;13
1087;Isoft;10
1088;Isotis Nv;29
1089;Isp;10
1090;Iss;10
1091;Ista;10
1092;Ita;10
1093;Itelligence;10
1094;Itt;15
1095;Itt Sheraton;17
1096;Itu;15
1097;Itw;6
1098;Iveco;2
1099;Jaakko Poyry;8
1100;Jabil;9
1101;Jakob Mueller;10
1102;Janoschka;9
1103;Jeronimo Martins;10
1104;J G Martin And Partners;20
1105;Jones Lang Lasalle;10
1106;John Deere;10
1107;Johnson And Johnson;2
1108;Johnson Controls;10
1109;Johnson Matthey;30
1110;Jomed;9
1111;Jotun;1
1112;Jrc Joint Research Centre;15
1113;J Sainsbury;30
1114;Jsp;9
1115;Japan Tobacco International;29
1116;Julius Baer;17
1117;Jungbunzlauer Int'L Ag;15
1118;Jvc;9
1119;Karstadt Quelle;30
1120;Kbc;30
1121;Kellogg'S;9
1122;Kemfine;14
1123;Kemira;8
1124;Kendle;15
1125;Kerr Mc Gee;30
1126;Kesko Oy;8
1127;Kghm Polska Miedz;30
1128;Kimberly-Clark Ltd;10
1129;Kingfisher Plc;1
1130;King Ict;10
1131;Kion;30
1132;Kisr Kuwait Institut For Scien;10
1133;Kiwa;15
1134;Kleinwort Benson Ltd;10
1135;Klm;20
1136;Klonatex;9
1137;Klosterfrau;15
1138;Kls Martin;9
1139;Knorr-Naehrmittel Ag;15
1140;Knpc Kuwait Nat'L Petroleum Co;2
1141;Eastman Kodak;10
1142;Gebr Koemmerling Kunststoffwer;15
1143;Koerber Ag;10
1144;Kohler;30
1145;Kolbenschmidt Pierburg;2
1146;Komatsu;30
1147;Kommunedata I/S;29
1148;Kone;8
1149;Konkat Ate;15
1150;Kontron;10
1151;Korsnas;2
1152;Kosicesteel;26
1153;Kovako Materials Handling;1
1154;Kovobrasiv;30
1155;Kovohute;20
1156;Kpmg;20
1157;Kpn Telecom;20
1158;Kraeber;10
1159;Kraft Foods;9
1160;Kras;20
1161;Kraton Polymers;10
1162;Krauthammer International;30
1163;Krizik;15
1164;Krka;10
1165;Krone;10
1166;Kronleins;29
