Id;Name;Country_iso;Country_id
875;Goldman Sachs;Int;9
876;Goodyear;BEL;2
877;Goodys Sa;GRE;11
878;Gore;Int;9
879;Gorenje;Int;1
880;Gosi General Organization Fo;Int;10
881;Gpc Biotech;GER;10
882;Gpic 0 Gulf Petrochemical Indu;Int;10
883;Gpo;Int;20
884;W R Grace Ltd;Int;9
885;Graco;Int;10
886;Granada Plc;Int;2
887;Haagen-Dazs Uk Ltd;Int;20
888;Graninge;Int;20
889;Greek Pharma Association;Int;9
890;Griffin Marechal;Int;20
891;Grosvenor;UK;30
892;Gruenenthal;GER;10
893;Grundfos;DEN;6
894;Gtech;BEL;2
895;Guerlain;Int;17
896;Guidant;Int;20
897;Guinness;Int;15
898;The Gulf Bank Ksc;Int;9
899;Gulf Air;Int;15
900;Gpic - Gulf Petrochemical Indu;Int;2
901;Gus Holland;Int;30
902;H&M Hennes & Mauritz;Int;10
903;Habasit Italiana Spa;SWI;29
904;Haldor Topsoe;Int;30
905;Halliburton Company;Int;20
906;Hammond Suddards;Int;15
907;Hamon Thermal Europe;Int;20
908;Handelsbanken Group;Int;20
909;Hands-On ;Int;10
910;Hansa Bank;EST;7
911;Hart Wall;Int;10
912;Haymarket Business Publication;Int;2
913;Hays;Int;30
914;Hayward;Int;9
915;Hbos;UK;30
916;Hughes Christensen;Int;2
917;Heidelberg;GER;10
918;Heidelberger;GER;10
919;Heidricks & Struggle;Int;10
920;Heine Optotechnik;Int;29
921;Heineken;NET;20
922;Hellenic Aerospace Industry;Int;9
923;Hellenic American Union;Int;10
924;Hellenic Brewery Of Atalanti;GRE;11
925;Hellenic Center For Investment;Int;14
926;Hellenic Culture Organisation;Int;1
927;Hellenic Defence Industry;Int;10
928;Helen;Int;14
929;Hellenic Export Promotion Orga;Int;15
930;Hellenic Food Industries;Int;29
931;Hella;GER;10
932;Hellenic Business Development;Int;10
933;Hellenic;Int;10
934;Hellenic Bank Ltd;Int;30
